preference_key,movie_title,star_cast,rating,year,place,vote,link
1,쇼생크 탈출,"Frank Darabont (dir.), Tim Robbins, Morgan Freeman",9.235802756711411,1994,1,,/title/tt0111161/
2,Daeboo,"Francis Ford Coppola (dir.), Marlon Brando, Al Pacino",9.155829287387125,1972,2,,/title/tt0068646/
3,다크 나이트,"Christopher Nolan (dir.), Christian Bale, Heath Ledger",8.991826042532656,2008,3,,/title/tt0468569/
4,The Godfather Part II,"Francis Ford Coppola (dir.), Al Pacino, Robert De Niro",8.983832358978841,1974,4,,/title/tt0071562/
1,12명의 성난 사람들,"Sidney Lumet (dir.), Henry Fonda, Lee J. Cobb",8.953238450722765,1957,5,,/title/tt0050083/
2,쉰들러 리스트,"Steven Spielberg (dir.), Liam Neeson, Ralph Fiennes",8.940230210116056,1993,6,,/title/tt0108052/
3,반지의 제왕: 왕의 귀환,"Peter Jackson (dir.), Elijah Wood, Viggo Mortensen",8.93266784917538,2003,7,,/title/tt0167260/
4,펄프 픽션,"Quentin Tarantino (dir.), John Travolta, Uma Thurman",8.84620225561176,1994,8,,/title/tt0110912/
1,반지의 제왕: 반지 원정대,"Peter Jackson (dir.), Elijah Wood, Ian McKellen",8.811188092020961,2001,9,,/title/tt0120737/
2, 석양의 무법자,"Sergio Leone (dir.), Clint Eastwood, Eli Wallach",8.78876911865127,1966,1,,/title/tt0060196/
3,포레스트 검프,"Robert Zemeckis (dir.), Tom Hanks, Robin Wright",8.766547989566089,1994,11,,/title/tt0109830/
4,파이트 클럽,"David Fincher (dir.), Brad Pitt, Edward Norton",8.747672246001096,1999,12,,/title/tt0137523/
1,The Lord of the Rings: The Two Towers,"Peter Jackson (dir.), Elijah Wood, Ian McKellen",8.73686971281014,2002,13,,/title/tt0167261/
2,인셉션,"Christopher Nolan (dir.), Leonardo DiCaprio, Joseph Gordon-Levitt",8.732625814672133,2010,14,,/title/tt1375666/
3,스타워즈 에피소드 5 - 제국의 역습,"Irvin Kershner (dir.), Mark Hamill, Harrison Ford",8.698328905280022,1980,15,,/title/tt0080684/
4,매트릭스,"Lana Wachowski (dir.), Keanu Reeves, Laurence Fishburne",8.669143553233399,1999,16,,/title/tt0133093/
1,좋은 친구들,"Martin Scorsese (dir.), Robert De Niro, Ray Liotta",8.653303696078343,1990,17,,/title/tt0099685/
2,뻐꾸기 둥지 위로 날아간 새,"Milos Forman (dir.), Jack Nicholson, Louise Fletcher",8.637724117949782,1975,18,,/title/tt0073486/
3,세븐,"David Fincher (dir.), Morgan Freeman, Brad Pitt",8.604619648707027,1995,19,,/title/tt0114369/
4,7인의 사무라이,"Akira Kurosawa (dir.), Toshirô Mifune, Takashi Shimura",8.597617258783908,1954,20,,/title/tt0047478/
1,멋진 인생,"Frank Capra (dir.), James Stewart, Donna Reed",8.597571984549388,1946,21,,/title/tt0038650/
2,양들의 침묵,"Jonathan Demme (dir.), Jodie Foster, Anthony Hopkins",8.58832935210058,1991,22,,/title/tt0102926/
3,라이언 일병 구하기,"Steven Spielberg (dir.), Tom Hanks, Matt Damon",8.579796739760976,1998,23,,/title/tt0120815/
4,시티 오브 갓,"Fernando Meirelles (dir.), Alexandre Rodrigues, Leandro Firmino",8.579276911706705,2002,24,,/title/tt0317248/
1,인터스텔라,"Christopher Nolan (dir.), Matthew McConaughey, Anne Hathaway",8.572513385434704,2014,25,,/title/tt0816692/
2,La vita è bella,"Roberto Benigni (dir.), Roberto Benigni, Nicoletta Braschi",8.568647092124426,1997,26,,/title/tt0118799/
3,그린 마일,"Frank Darabont (dir.), Tom Hanks, Michael Clarke Duncan",8.563659791398583,1999,27,,/title/tt0120689/
4,Star Wars,"George Lucas (dir.), Mark Hamill, Harrison Ford",8.547661447590666,1977,28,,/title/tt0076759/
1,Terminator 2: Judgment Day,"James Cameron (dir.), Arnold Schwarzenegger, Linda Hamilton",8.53820275575383,1991,29,,/title/tt0103064/
2,빽 투 더 퓨쳐,"Robert Zemeckis (dir.), Michael J. Fox, Christopher Lloyd",8.517861669450125,1985,30,,/title/tt0088763/
3,센과 치히로의 행방불명,"Hayao Miyazaki (dir.), Daveigh Chase, Suzanne Pleshette",8.515802493021225,2001,31,,/title/tt0245429/
4,피아니스트,"Roman Polanski (dir.), Adrien Brody, Thomas Kretschmann",8.507804430430113,2002,32,,/title/tt0253474/
1,싸이코,"Alfred Hitchcock (dir.), Anthony Perkins, Janet Leigh",8.506189307339463,1960,33,,/title/tt0054215/
2,Gisaengchung,"Bong Joon Ho (dir.), Song Kang-ho, Lee Sun-kyun",8.500303124014911,2019,34,,/title/tt6751668/
3,레옹,"Luc Besson (dir.), Jean Reno, Gary Oldman",8.492446670661613,1994,35,,/title/tt0110413/
4,라이온 킹,"Roger Allers (dir.), Matthew Broderick, Jeremy Irons",8.48778546315929,1994,36,,/title/tt0110357/
1,글래디에이터,"Ridley Scott (dir.), Russell Crowe, Joaquin Phoenix",8.487168780019006,2000,37,,/title/tt0172495/
2,아메리칸 히스토리 X,"Tony Kaye (dir.), Edward Norton, Edward Furlong",8.481303939534838,1998,38,,/title/tt0120586/
3,디파티드,"Martin Scorsese (dir.), Leonardo DiCaprio, Matt Damon",8.476262097447222,2006,39,,/title/tt0407887/
4,프레스티지,"Christopher Nolan (dir.), Christian Bale, Hugh Jackman",8.46927295953249,2006,40,,/title/tt0482571/
1,위플래쉬,"Damien Chazelle (dir.), Miles Teller, J.K. Simmons",8.469169240014052,2014,41,,/title/tt2582802/
2,유주얼 서스펙트,"Bryan Singer (dir.), Kevin Spacey, Gabriel Byrne",8.468829323539797,1995,42,,/title/tt0114814/
3,카사블랑카,"Michael Curtiz (dir.), Humphrey Bogart, Ingrid Bergman",8.461185879454867,1942,43,,/title/tt0034583/
4,반딧불이의 묘,"Isao Takahata (dir.), Tsutomu Tatsumi, Ayano Shiraishi",8.45647778454386,1988,44,,/title/tt0095327/
1,Seppuku,"Masaki Kobayashi (dir.), Tatsuya Nakadai, Akira Ishihama",8.455948334987227,1962,45,,/title/tt0056058/
2,언터처블: 1%의 우정,"Olivier Nakache (dir.), François Cluzet, Omar Sy",8.453205739866272,2011,46,,/title/tt1675434/
3,모던 타임즈,"Charles Chaplin (dir.), Charles Chaplin, Paulette Goddard",8.446643678922156,1936,47,,/title/tt0027977/
4,원스 어폰 어 타임 인 더 웨스트,"Sergio Leone (dir.), Henry Fonda, Charles Bronson",8.440233132687089,1968,48,,/title/tt0064116/
1,시네마 천국,"Giuseppe Tornatore (dir.), Philippe Noiret, Enzo Cannavale",8.435607720146765,1988,49,,/title/tt0095765/
2,이창,"Alfred Hitchcock (dir.), James Stewart, Grace Kelly",8.435176169639142,1954,50,,/title/tt0047396/
3,에이리언,"Ridley Scott (dir.), Sigourney Weaver, Tom Skerritt",8.43324719521444,1979,51,,/title/tt0078748/
4,City Lights,"Charles Chaplin (dir.), Charles Chaplin, Virginia Cherrill",8.431934136650684,1931,52,,/title/tt0021749/
1,지옥의 묵시록,"Francis Ford Coppola (dir.), Martin Sheen, Marlon Brando",8.422599650888909,1979,53,,/title/tt0078788/
2,메멘토,"Christopher Nolan (dir.), Guy Pearce, Carrie-Anne Moss",8.418912609747018,2000,54,,/title/tt0209144/
3,장고: 분노의 추적자,"Quentin Tarantino (dir.), Jamie Foxx, Christoph Waltz",8.409356738095836,2012,55,,/title/tt1853728/
4,레이더스,"Steven Spielberg (dir.), Harrison Ford, Karen Allen",8.40586539042541,1981,56,,/title/tt0082971/
1,월-E,"Andrew Stanton (dir.), Ben Burtt, Elissa Knight",8.395459441412621,2008,57,,/title/tt0910970/
2,타인의 삶,"Florian Henckel von Donnersmarck (dir.), Ulrich Mühe, Martina Gedeck",8.383575881734648,2006,58,,/title/tt0405094/
3,Sunset Blvd,"Billy Wilder (dir.), William Holden, Gloria Swanson",8.378789118411882,1950,59,,/title/tt0043014/
4,Paths of Glory,"Stanley Kubrick (dir.), Kirk Douglas, Ralph Meeker",8.37145090297213,1957,60,,/title/tt0050825/
1,샤이닝,"Stanley Kubrick (dir.), Jack Nicholson, Shelley Duvall",8.364845085714238,1980,61,,/title/tt0081505/
2,The Great Dictator,"Charles Chaplin (dir.), Charles Chaplin, Paulette Goddard",8.363733139531195,1940,62,,/title/tt0032553/
3,어벤져스: 인피니티 워,"Anthony Russo (dir.), Robert Downey Jr., Chris Hemsworth",8.361900626573686,2018,63,,/title/tt4154756/
4,Witness for the Prosecution,"Billy Wilder (dir.), Tyrone Power, Marlene Dietrich",8.359715987680254,1957,64,,/title/tt0051201/
1,Aliens,"James Cameron (dir.), Sigourney Weaver, Michael Biehn",8.342931956210801,1986,65,,/title/tt0090605/
2,스파이더맨: 뉴 유니버스,"Bob Persichetti (dir.), Shameik Moore, Jake Johnson",8.338649863353423,2018,66,,/title/tt4633694/
3,아메리칸 뷰티,"Sam Mendes (dir.), Kevin Spacey, Annette Bening",8.329462141977872,1999,67,,/title/tt0169547/
4,Dr Strangelove or: How I Learned to Stop Worrying and Love the Bomb,"Stanley Kubrick (dir.), Peter Sellers, George C. Scott",8.326955276286506,1964,68,,/title/tt0057012/
1,Dakeu naiteu raijeu,"Christopher Nolan (dir.), Christian Bale, Tom Hardy",8.326043970006358,2012,69,,/title/tt1345836/
2,Oldeuboi,"Park Chan-wook (dir.), Choi Min-sik, Yoo Ji-tae",8.320063857892878,2003,70,,/title/tt0364569/
3,바스터즈: 거친 녀석들,"Quentin Tarantino (dir.), Brad Pitt, Diane Kruger",8.319025443318777,2009,71,,/title/tt0361748/
4,아마데우스,"Milos Forman (dir.), F. Murray Abraham, Tom Hulce",8.316264327248382,1984,72,,/title/tt0086879/
1,코코,"Lee Unkrich (dir.), Anthony Gonzalez, Gael García Bernal",8.315173101444195,2017,73,,/title/tt2380307/
2,Toy Story,"John Lasseter (dir.), Tom Hanks, Tim Allen",8.314039388545861,1995,74,,/title/tt0114709/
3,Braveheart,"Mel Gibson (dir.), Mel Gibson, Sophie Marceau",8.312549054183638,1995,75,,/title/tt0112573/
4,조커,"Todd Phillips (dir.), Joaquin Phoenix, Robert De Niro",8.312515338131846,2019,76,,/title/tt7286456/
1,The Boat,"Wolfgang Petersen (dir.), Jürgen Prochnow, Herbert Grönemeyer",8.311415929510344,1981,77,,/title/tt0082096/
2,어벤져스: 엔드게임,"Anthony Russo (dir.), Robert Downey Jr., Chris Evans",8.303621419154227,2019,78,,/title/tt4154796/
3,Mononoke-hime,"Hayao Miyazaki (dir.), Yôji Matsuda, Yuriko Ishida",8.302938237335267,1997,79,,/title/tt0119698/
4,원스 어폰 어 타임 인 아메리카,"Sergio Leone (dir.), Robert De Niro, James Woods",8.294387408931286,1984,80,,/title/tt0087843/
1,굿 윌 헌팅,"Gus Van Sant (dir.), Robin Williams, Matt Damon",8.293218270788302,1997,81,,/title/tt0119217/
2,Neoui Ileum-eun,"Makoto Shinkai (dir.), Ryunosuke Kamiki, Mone Kamishiraishi",8.28300162223382,2016,82,,/title/tt5311514/
3,사랑은 비를 타고,"Stanley Donen (dir.), Gene Kelly, Donald O'Connor",8.275398944530364,1952,83,,/title/tt0045152/
4,세 얼간이,"Rajkumar Hirani (dir.), Aamir Khan, Madhavan",8.274698374413429,2009,84,,/title/tt1187043/
1,레퀴엠,"Darren Aronofsky (dir.), Ellen Burstyn, Jared Leto",8.273494636270488,2000,85,,/title/tt0180093/
2,천국과 지옥,"Akira Kurosawa (dir.), Toshirô Mifune, Yutaka Sada",8.272168474032377,1963,86,,/title/tt0057565/
3,토이 스토리 3,"Lee Unkrich (dir.), Tom Hanks, Tim Allen",8.27035743878765,2010,87,,/title/tt0435761/
4,가버나움,"Nadine Labaki (dir.), Zain Al Rafeea, Yordanos Shiferaw",8.267174034616,2018,88,,/title/tt8267604/
1,Star Wars: Episode VI - Return of the Jedi,"Richard Marquand (dir.), Mark Hamill, Harrison Ford",8.264058098563549,1983,89,,/title/tt0086190/
2,2001: A Space Odyssey,"Stanley Kubrick (dir.), Keir Dullea, Gary Lockwood",8.261512826087307,1968,90,,/title/tt0062622/
3,이터널 선샤인,"Michel Gondry (dir.), Jim Carrey, Kate Winslet",8.261461192494414,2004,91,,/title/tt0338013/
4,컴 앤 씨,"Elem Klimov (dir.), Aleksey Kravchenko, Olga Mironova",8.259623062242367,1985,92,,/title/tt0091251/
1,저수지의 개들,"Quentin Tarantino (dir.), Harvey Keitel, Tim Roth",8.258473821839658,1992,93,,/title/tt0105236/
2,더 헌트,"Thomas Vinterberg (dir.), Mads Mikkelsen, Thomas Bo Larsen",8.25742676240016,2012,94,,/title/tt2106476/
3,시민 케인,"Orson Welles (dir.), Orson Welles, Joseph Cotten",8.249487788148832,1941,95,,/title/tt0033467/
4,Lawrence of Arabia,"David Lean (dir.), Peter O'Toole, Alec Guinness",8.24922483542616,1962,96,,/title/tt0056172/
1,M - Eine Stadt sucht einen Mörder,"Fritz Lang (dir.), Peter Lorre, Ellen Widmann",8.249028585828666,1931,97,,/title/tt0022100/
2,Bugbugseolo Jinloleul Dollyeola,"Alfred Hitchcock (dir.), Cary Grant, Eva Marie Saint",8.245353329051076,1959,98,,/title/tt0053125/
3,이키루,"Akira Kurosawa (dir.), Takashi Shimura, Nobuo Kaneko",8.244579426245306,1952,99,,/title/tt0044741/
4, Hyeongijeung,"Alfred Hitchcock (dir.), James Stewart, Kim Novak",8.242576163325804,1958,10,,/title/tt0052357/
1,The Apartment,"Billy Wilder (dir.), Jack Lemmon, Shirley MacLaine",8.241713483153141,1960,101,,/title/tt0053604/
2,아멜리에,"Jean-Pierre Jeunet (dir.), Audrey Tautou, Mathieu Kassovitz",8.240743662981084,2001,102,,/title/tt0211915/
3,Double Indemnity,"Billy Wilder (dir.), Fred MacMurray, Barbara Stanwyck",8.237943155432106,1944,103,,/title/tt0036775/
4,시계태엽 오렌지,"Stanley Kubrick (dir.), Malcolm McDowell, Patrick Magee",8.2378778731912,1971,104,,/title/tt0066921/
1,Metal jaket,"Stanley Kubrick (dir.), Matthew Modine, R. Lee Ermey",8.236681716898252,1987,105,,/title/tt0093058/
2,스카페이스,"Brian De Palma (dir.), Al Pacino, Michelle Pfeiffer",8.234882958082059,1983,106,,/title/tt0086250/
3,Hamilton,"Thomas Kail (dir.), Lin-Manuel Miranda, Phillipa Soo",8.231199726711493,2020,107,,/title/tt8503618/
4,그을린 사랑,"Denis Villeneuve (dir.), Lubna Azabal, Mélissa Désormeaux-Poulin",8.227132630513903,2010,108,,/title/tt1255953/
1,히트,"Michael Mann (dir.), Al Pacino, Robert De Niro",8.22592575401458,1995,109,,/title/tt0113277/
2,To Kill a Mockingbird,"Robert Mulligan (dir.), Gregory Peck, John Megna",8.225480952644679,1962,110,,/title/tt0056592/
3,업,"Pete Docter (dir.), Edward Asner, Jordan Nagai",8.224787190871437,2009,111,,/title/tt1049413/
4,The Sting,"George Roy Hill (dir.), Paul Newman, Robert Redford",8.224490219732303,1973,112,,/title/tt0070735/
1,Jodaeiye Nader az Simin,"Asghar Farhadi (dir.), Payman Maadi, Leila Hatami",8.221257986413045,2011,113,,/title/tt1832382/
2,Metropolis,"Fritz Lang (dir.), Brigitte Helm, Alfred Abel",8.220812833558583,1927,114,,/title/tt0017136/
3,Taxi Driver,"Martin Scorsese (dir.), Robert De Niro, Jodie Foster",8.218710931618622,1976,115,,/title/tt0075314/
4,LA Confidential,"Curtis Hanson (dir.), Kevin Spacey, Russell Crowe",8.218255346265403,1997,116,,/title/tt0119488/
1,다이 하드,"John McTiernan (dir.), Bruce Willis, Alan Rickman",8.217587409578371,1988,117,,/title/tt0095016/
2,Snatch,"Guy Ritchie (dir.), Jason Statham, Brad Pitt",8.21669687488834,2000,118,,/title/tt0208092/
3,Indiana Jones and the Last Crusade,"Steven Spielberg (dir.), Harrison Ford, Sean Connery",8.216620849333522,1989,119,,/title/tt0097576/
4,Bicycle Thieves,"Vittorio De Sica (dir.), Lamberto Maggiorani, Enzo Staiola",8.215546183822497,1948,120,,/title/tt0040522/
1,탑건: 매버릭,"Joseph Kosinski (dir.), Tom Cruise, Jennifer Connelly",8.214346259312853,2022,121,,/title/tt1745960/
2,Like Stars on Earth,"Aamir Khan (dir.), Darsheel Safary, Aamir Khan",8.212469313225718,2007,122,,/title/tt0986264/
3,1917,"Sam Mendes (dir.), Dean-Charles Chapman, George MacKay",8.21120312925462,2019,123,,/title/tt8579674/
4,Downfall,"Oliver Hirschbiegel (dir.), Bruno Ganz, Alexandra Maria Lara",8.20313578692306,2004,124,,/title/tt0363163/
1,Dangal,"Nitesh Tiwari (dir.), Aamir Khan, Sakshi Tanwar",8.199877019241555,2016,125,,/title/tt5074352/
2,For a Few Dollars More,"Sergio Leone (dir.), Clint Eastwood, Lee Van Cleef",8.198857387712945,1965,126,,/title/tt0059578/
3,배트맨 비긴즈,"Christopher Nolan (dir.), Christian Bale, Michael Caine",8.197112404449747,2005,127,,/title/tt0372784/
4,The Kid,"Charles Chaplin (dir.), Charles Chaplin, Edna Purviance",8.19074391253091,1921,128,,/title/tt0012349/
1,Some Like It Hot,"Billy Wilder (dir.), Marilyn Monroe, Tony Curtis",8.19026029243242,1959,129,,/title/tt0053291/
2,John Wick: Chapter 4,"Chad Stahelski (dir.), Keanu Reeves, Laurence Fishburne",8.182897086467202,2023,130,,/title/tt10366206/
3,더 파더,"Florian Zeller (dir.), Anthony Hopkins, Olivia Colman",8.182029400028053,2020,131,,/title/tt10272386/
4,Eveeui Modeun Gut,"Joseph L. Mankiewicz (dir.), Bette Davis, Anne Baxter",8.180135264938047,1950,132,,/title/tt0042192/
1,더 울프 오브 월 스트리트,"Martin Scorsese (dir.), Leonardo DiCaprio, Jonah Hill",8.178307270175305,2013,133,,/title/tt0993846/
2,그린 북,"Peter Farrelly (dir.), Viggo Mortensen, Mahershala Ali",8.177685016461075,2018,134,,/title/tt6966692/
3,뉘른베르크의 재판,"Stanley Kramer (dir.), Spencer Tracy, Burt Lancaster",8.171701733018837,1961,135,,/title/tt0055031/
4,Ran,"Akira Kurosawa (dir.), Tatsuya Nakadai, Akira Terao",8.16475346449613,1985,136,,/title/tt0089881/
1,카지노,"Martin Scorsese (dir.), Robert De Niro, Sharon Stone",8.16398139654834,1995,137,,/title/tt0112641/
2,트루먼 쇼,"Peter Weir (dir.), Jim Carrey, Ed Harris",8.161651253977837,1998,138,,/title/tt0120382/
3,데어 윌 비 블러드,"Paul Thomas Anderson (dir.), Daniel Day-Lewis, Paul Dano",8.160830349397006,2007,139,,/title/tt0469494/
4,판의 미로 - 오필리아와 세 개의 열쇠,"Guillermo del Toro (dir.), Ivana Baquero, Ariadna Gil",8.16023762547951,2006,140,,/title/tt0457430/
1,Unforgiven,"Clint Eastwood (dir.), Clint Eastwood, Gene Hackman",8.158418250825683,1992,141,,/title/tt0105695/
2,식스 센스,"M. Night Shyamalan (dir.), Bruce Willis, Haley Joel Osment",8.154729739472577,1999,142,,/title/tt0167404/
3,셔터 아일랜드,"Martin Scorsese (dir.), Leonardo DiCaprio, Emily Mortimer",8.153747938265298,2010,143,,/title/tt1130884/
4,A Beautiful Mind,"Ron Howard (dir.), Russell Crowe, Ed Harris",8.150737631928171,2001,144,,/title/tt0268978/
1,Jyuragi gongwon,"Steven Spielberg (dir.), Sam Neill, Laura Dern",8.14971073752602,1993,145,,/title/tt0107290/
2,Yôjinbô,"Akira Kurosawa (dir.), Toshirô Mifune, Eijirô Tôno",8.147163005344202,1961,146,,/title/tt0055630/
3,The Treasure of the Sierra Madre,"John Huston (dir.), Humphrey Bogart, Walter Huston",8.146861067692921,1948,147,,/title/tt0040897/
4,Monty Python and the Holy Grail,"Terry Gilliam (dir.), Graham Chapman, John Cleese",8.145080970779379,1975,148,,/title/tt0071853/
1,노인을 위한 나라는 없다,"Ethan Coen (dir.), Tommy Lee Jones, Javier Bardem",8.140447262854243,2007,149,,/title/tt0477348/
2,The Great Escape,"John Sturges (dir.), Steve McQueen, James Garner",8.139522214323454,1963,150,,/title/tt0057115/
3,킬 빌,"Quentin Tarantino (dir.), Uma Thurman, David Carradine",8.139087123344966,2003,151,,/title/tt0266697/
4,라쇼몽,"Akira Kurosawa (dir.), Toshirô Mifune, Machiko Kyô",8.137488104977981,1950,152,,/title/tt0042876/
1,The Thing,"John Carpenter (dir.), Kurt Russell, Wilford Brimley",8.134142301598267,1982,153,,/title/tt0084787/
2,스파이더맨: 노 웨이 홈,"Jon Watts (dir.), Tom Holland, Zendaya",8.13368691624163,2021,154,,/title/tt10872600/
3,Finding Nemo,"Andrew Stanton (dir.), Albert Brooks, Ellen DeGeneres",8.131295375560997,2003,155,,/title/tt0266543/
4,The Elephant Man,"David Lynch (dir.), Anthony Hopkins, John Hurt",8.126833162945506,1980,156,,/title/tt0080678/
1,Chinatown,"Roman Polanski (dir.), Jack Nicholson, Faye Dunaway",8.125115738345533,1974,157,,/title/tt0071315/
